Azimuth (deg),Elevation (deg),Power Received (dBm),Antenna Gain (dBi)
6.00,0.00,-52.334,21.12065,
5.90,0.00,-52.305,21.14965,
5.80,0.00,-52.313,21.14165,
5.70,0.00,-52.276,21.17865,
5.60,0.00,-52.327,21.12765,
5.50,0.00,-52.291,21.16365,
5.40,0.00,-52.314,21.14065,
5.30,0.00,-52.329,21.12565,
5.20,0.00,-52.301,21.15365,
5.10,0.00,-52.299,21.15565,
5.00,0.00,-52.268,21.18665,
4.90,0.00,-52.261,21.19365,
4.80,0.00,-52.251,21.20365,
4.70,0.00,-52.276,21.17865,
4.60,0.00,-52.246,21.20865,
4.50,0.00,-52.274,21.18065,
4.40,0.00,-52.285,21.16965,
4.30,0.00,-52.303,21.15165,
4.20,0.00,-52.301,21.15365,
4.10,0.00,-52.326,21.12865,
4.00,0.00,-52.322,21.13265,
3.90,0.00,-52.342,21.11265,
3.80,0.00,-52.293,21.16165,
3.70,0.00,-52.314,21.14065,
3.60,0.00,-52.303,21.15165,
3.50,0.00,-52.301,21.15365,
3.40,0.00,-52.27,21.18465,
3.30,0.00,-52.223,21.23165,
3.20,0.00,-52.168,21.28665,
3.10,0.00,-52.103,21.35165,
3.00,0.00,-52.098,21.35665,
2.90,0.00,-51.739,21.71565,
2.80,0.00,-51.689,21.76565,
2.70,0.00,-50.883,22.57165,
2.60,0.00,-50.568,22.88665,
2.50,0.00,-50.199,23.25565,
2.40,0.00,-49.881,23.57365,
2.30,0.00,-49.284,24.17065,
2.20,0.00,-48.793,24.66165,
2.10,0.00,-48.244,25.21065,
2.00,0.00,-47.729,25.72565,
1.90,0.00,-47.304,26.15065,
1.80,0.00,-46.842,26.61265,
1.70,0.00,-46.417,27.03765,
1.60,0.00,-45.986,27.46865,
1.50,0.00,-45.534,27.92065,
1.40,0.00,-45.037,28.41765,
1.30,0.00,-44.634,28.82065,
1.20,0.00,-44.185,29.26965,
1.10,0.00,-43.732,29.72265,
1.00,0.00,-43.354,30.10065,
0.90,0.00,-43.005,30.44965,
0.80,0.00,-42.679,30.77565,
0.70,0.00,-42.358,31.09665,
0.60,0.00,-42.011,31.44365,
0.50,0.00,-41.702,31.75265,
0.40,0.00,-41.353,32.10165,
0.30,0.00,-41.046,32.40865,
0.20,0.00,-40.741,32.71365,
0.10,0.00,-40.482,32.97265,
0.00,0.00,-40.225,33.22965,
-0.10,0.00,-40.188,33.26665,
-0.20,0.00,-39.845,33.60965,
-0.30,0.00,-39.701,33.75365,
-0.40,0.00,-39.511,33.94365,
-0.50,0.00,-39.355,34.09965,
-0.60,0.00,-39.212,34.24265,
-0.70,0.00,-39.073,34.38165,
-0.80,0.00,-38.926,34.52865,
-0.90,0.00,-38.858,34.59665,
-1.00,0.00,-38.773,34.68165,
-1.10,0.00,-38.731,34.72365,
-1.20,0.00,-38.728,34.72665,
-1.30,0.00,-38.734,34.72065,
-1.40,0.00,-38.791,34.66365,
-1.50,0.00,-38.811,34.64365,
-1.60,0.00,-38.817,34.63765,
-1.70,0.00,-38.844,34.61065,
-1.80,0.00,-38.867,34.58765,
-1.90,0.00,-38.914,34.54065,
-2.00,0.00,-38.992,34.46265,
-2.10,0.00,-39.127,34.32765,
-2.20,0.00,-38.867,34.58765,
-2.30,0.00,-39.067,34.38765,
-2.40,0.00,-39.257,34.19765,
-2.50,0.00,-39.466,33.98865,
-2.60,0.00,-39.694,33.76065,
-2.70,0.00,-39.912,33.54265,
-2.80,0.00,-40.183,33.27165,
-2.90,0.00,-40.463,32.99165,
-3.00,0.00,-40.757,32.69765,
-3.10,0.00,-41.112,32.34265,
-3.20,0.00,-41.456,31.99865,
-3.30,0.00,-41.827,31.62765,
-3.40,0.00,-42.183,31.27165,
-3.50,0.00,-42.588,30.86665,
-3.60,0.00,-42.996,30.45865,
-3.70,0.00,-43.43,30.02465,
-3.80,0.00,-43.839,29.61565,
-3.90,0.00,-44.295,29.15965,
-4.00,0.00,-44.805,28.64965,
-4.10,0.00,-45.315,28.13965,
-4.20,0.00,-45.806,27.64865,
-4.30,0.00,-46.341,27.11365,
-4.40,0.00,-46.871,26.58365,
-4.50,0.00,-47.362,26.09265,
-4.60,0.00,-47.856,25.59865,
-4.70,0.00,-48.406,25.04865,
-4.80,0.00,-49.025,24.42965,
-4.90,0.00,-49.456,23.99865,
-5.00,0.00,-50.016,23.43865,
-5.10,0.00,-50.738,22.71665,
-5.20,0.00,-50.973,22.48165,
-5.30,0.00,-51.553,21.90165,
-5.40,0.00,-51.727,21.72765,
-5.50,0.00,-52.006,21.44865,
-5.60,0.00,-52.037,21.41765,
-5.70,0.00,-52.1,21.35465,
-5.80,0.00,-52.126,21.32865,
-5.90,0.00,-52.163,21.29165,
-6.00,0.00,-52.149,21.30565,
0.00,6.00,-51.86,21.59465,
0.00,5.90,-51.634,21.82065,
0.00,5.80,-51.877,21.57765,
0.00,5.70,-51.709,21.74565,
0.00,5.60,-52.004,21.45065,
0.00,5.50,-52.017,21.43765,
0.00,5.40,-52.018,21.43665,
0.00,5.30,-52.064,21.39065,
0.00,5.20,-52.039,21.41565,
0.00,5.10,-52.099,21.35565,
0.00,5.00,-52.117,21.33765,
0.00,4.90,-52.135,21.31965,
0.00,4.80,-52.205,21.24965,
0.00,4.70,-52.21,21.24465,
0.00,4.60,-52.219,21.23565,
0.00,4.50,-52.277,21.17765,
0.00,4.40,-52.292,21.16265,
0.00,4.30,-52.322,21.13265,
0.00,4.20,-52.317,21.13765,
0.00,4.10,-52.296,21.15865,
0.00,4.00,-52.297,21.15765,
0.00,3.90,-52.25,21.20465,
0.00,3.80,-52.189,21.26565,
0.00,3.70,-52.156,21.29865,
0.00,3.60,-52.034,21.42065,
0.00,3.50,-51.754,21.70065,
0.00,3.40,-51.223,22.23165,
0.00,3.30,-50.637,22.81765,
0.00,3.20,-50.285,23.16965,
0.00,3.10,-49.766,23.68865,
0.00,3.00,-49.168,24.28665,
0.00,2.90,-48.665,24.78965,
0.00,2.80,-48.143,25.31165,
0.00,2.70,-47.401,26.05365,
0.00,2.60,-46.919,26.53565,
0.00,2.50,-46.393,27.06165,
0.00,2.40,-45.854,27.60065,
0.00,2.30,-45.374,28.08065,
0.00,2.20,-44.884,28.57065,
0.00,2.10,-44.46,28.99465,
0.00,2.00,-44.013,29.44165,
0.00,1.90,-43.645,29.80965,
0.00,1.80,-43.132,30.32265,
0.00,1.70,-42.371,31.08365,
0.00,1.60,-42.129,31.32565,
0.00,1.50,-41.726,31.72865,
0.00,1.40,-41.409,32.04565,
0.00,1.30,-41.132,32.32265,
0.00,1.20,-40.885,32.56965,
0.00,1.10,-40.637,32.81765,
0.00,1.00,-40.428,33.02665,
0.00,0.90,-40.214,33.24065,
0.00,0.80,-40.051,33.40365,
0.00,0.70,-39.882,33.57265,
0.00,0.60,-39.737,33.71765,
0.00,0.50,-39.641,33.81365,
0.00,0.40,-39.545,33.90965,
0.00,0.30,-39.472,33.98265,
0.00,0.20,-39.424,34.03065,
0.00,0.10,-39.425,34.02965,
0.00,0.00,-39.396,34.05865,
0.00,-0.10,-39.429,34.02565,
0.00,-0.20,-39.446,34.00865,
0.00,-0.30,-39.49,33.96465,
0.00,-0.40,-39.545,33.90965,
0.00,-0.50,-39.632,33.82265,
0.00,-0.60,-39.709,33.74565,
0.00,-0.70,-39.844,33.61065,
0.00,-0.80,-39.973,33.48165,
0.00,-0.90,-40.107,33.34765,
0.00,-1.00,-40.292,33.16265,
0.00,-1.10,-40.494,32.96065,
0.00,-1.20,-40.723,32.73165,
0.00,-1.30,-40.965,32.48965,
0.00,-1.40,-41.248,32.20665,
0.00,-1.50,-41.524,31.93065,
0.00,-1.60,-41.832,31.62265,
0.00,-1.70,-42.186,31.26865,
0.00,-1.80,-42.55,30.90465,
0.00,-1.90,-42.831,30.62365,
0.00,-2.00,-43.145,30.30965,
0.00,-2.10,-43.437,30.01765,
0.00,-2.20,-43.65,29.80465,
0.00,-2.30,-43.824,29.63065,
0.00,-2.40,-43.965,29.48965,
0.00,-2.50,-44.117,29.33765,
0.00,-2.60,-44.202,29.25265,
0.00,-2.70,-44.331,29.12365,
0.00,-2.80,-44.786,28.66865,
0.00,-2.90,-45.276,28.17865,
0.00,-3.00,-45.705,27.74965,
0.00,-3.10,-46.131,27.32365,
0.00,-3.20,-46.567,26.88765,
0.00,-3.30,-47.085,26.36965,
0.00,-3.40,-47.524,25.93065,
0.00,-3.50,-47.924,25.53065,
0.00,-3.60,-48.365,25.08965,
0.00,-3.70,-48.979,24.47565,
0.00,-3.80,-49.325,24.12965,
0.00,-3.90,-49.716,23.73865,
0.00,-4.00,-50.265,23.18965,
0.00,-4.10,-50.53,22.92465,
0.00,-4.20,-51.1,22.35465,
0.00,-4.30,-51.557,21.89765,
0.00,-4.40,-51.563,21.89165,
0.00,-4.50,-51.712,21.74265,
0.00,-4.60,-51.757,21.69765,
0.00,-4.70,-51.96,21.49465,
0.00,-4.80,-52.01,21.44465,
0.00,-4.90,-52.025,21.42965,
0.00,-5.00,-52.085,21.36965,
0.00,-5.10,-52.056,21.39865,
0.00,-5.20,-52.076,21.37865,
0.00,-5.30,-52.063,21.39165,
0.00,-5.40,-52.008,21.44665,
0.00,-5.50,-51.896,21.55865,
0.00,-5.60,-52.013,21.44165,
0.00,-5.70,-52.059,21.39565,
0.00,-5.80,-51.79,21.66465,
0.00,-5.90,-51.992,21.46265,
0.00,-6.00,-51.801,21.65365
